affection,good_with_young_children,good_with_other_dogs,shedding,grooming_needs,drool,coat_type,coat_length,openness_to_strangers,playfulness,protectiveness,adaptability,trainability_level,energy,barking,mental_stimulation_needs,breed_clean,popularity,editors_choice
5,3,3,3,1,1,Smooth,Short,3,4,4,3,5,5,3,4,German Pinschers,0.792650140594284,1
5,5,5,5,3,3,Double,Medium,4,4,3,4,4,4,3,3,Bernese Mountain Dogs,0.9229236146420572,1
5,3,5,3,2,2,Smooth,Short,4,4,3,4,5,4,3,4,Pointers,0.8262780821389399,0
5,5,5,3,2,2,Smooth,Medium,5,5,3,5,5,5,3,4,Retrievers (Flat-Coated),0.8366604293157021,0
5,5,3,2,3,2,Wiry,Medium,5,4,4,4,4,4,4,4,Welsh Terriers,0.8252182944851224,0
5,3,3,1,5,2,Corded,Long,3,3,5,4,5,3,3,5,Pulik,0.7609857830502057,0
5,4,3,4,2,2,Double,Medium,4,3,3,4,4,3,5,3,Finnish Lapphunds,0.6292750337780574,1
5,3,5,2,1,1,Wiry,Short,3,4,3,4,3,5,3,5,Ibizan Hounds,0.605393222863405,0
5,5,5,4,2,2,Double,Short,5,5,3,5,5,5,3,4,Retrievers (Labrador),0.9660695611533628,1
1,3,3,3,2,1,Smooth,Short,1,3,5,3,2,3,3,3,Anatolian Shepherd Dogs,0.8666634141388609,0
5,3,3,3,1,3,Smooth,Short,3,4,5,4,5,3,1,5,Rottweilers,0.917287050873038,1
4,5,3,2,2,3,Smooth,Short,4,4,4,3,4,4,3,4,Boxers,0.9202712408106738,0
5,5,5,3,3,2,Double,Medium,3,4,3,4,3,3,2,3,English Toy Spaniels,0.7245843342138424,0
5,3,4,4,2,1,Double,Short,4,4,5,4,4,4,4,4,Pembroke Welsh Corgis,0.9677904024852184,0
3,3,3,1,3,1,Curly,Medium,3,3,4,3,3,4,3,3,Bedlington Terriers,0.7680772761696595,0
4,3,3,1,2,1,Hairless,Short,4,3,3,4,4,3,3,3,Chinese Crested,0.8614177582959249,0
5,4,4,3,3,3,Double,Medium,4,4,3,4,4,3,3,4,Setters (English),0.842245081139475,0
4,5,3,2,2,1,Wiry,Short,4,4,3,4,4,3,3,3,Border Terriers,0.8244211842544658,0
3,3,3,3,2,1,Double,Short,3,3,3,3,3,3,3,3,Norwegian Lundehunds,0.3179853109167327,0
3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3,Bluetick Coonhounds,0.7278756692418914,1
3,5,5,3,3,1,Double,Medium,3,4,3,4,4,4,3,3,Spaniels (Boykin),0.8531720588998939,0
5,3,3,2,1,1,Smooth,Short,4,3,5,3,3,3,3,3,American Staffordshire Terriers,0.8455224276025005,0
4,3,1,3,2,1,Smooth,Short,4,4,3,3,3,4,3,4,Bull Terriers,0.9345670442070542,0
5,5,3,2,2,3,Smooth,Short,4,4,5,5,5,4,3,4,Staffordshire Bull Terriers,0.8799563332146977,1
5,5,5,2,2,2,Wavy,Medium,4,3,3,3,4,3,3,3,Cavalier King Charles Spaniels,0.976507825768236,0
5,5,3,3,2,3,Wiry,Medium,5,4,3,4,5,5,3,5,Wirehaired Pointing Griffons,0.9198000580828258,0
5,5,3,3,1,4,Double,Short,3,3,5,4,3,3,1,3,Mastiffs,0.9037238347656836,0
5,3,2,2,3,2,Wiry,Medium,3,4,5,4,3,3,4,4,Scottish Terriers,0.879829459730399,0
5,5,3,3,4,2,Wiry,Medium,3,4,4,5,5,3,5,4,Miniature Schnauzers,0.9626676795703942,1
5,5,3,2,2,1,Wavy,Long,3,4,4,4,4,3,3,3,Lowchen,0.6912009936736381,0
4,3,3,3,2,4,Wavy,Medium,4,3,3,4,4,3,1,3,Spaniels (Clumber),0.8025606802500671,0
5,3,5,3,2,1,Wiry,Short,5,5,4,4,3,5,4,5,Russell Terriers,0.9103084028991024,1
5,3,2,1,4,2,Corded,Long,3,3,5,3,4,3,3,3,Komondorok,0.5462174848511208,0
5,5,3,3,3,1,Double,Long,5,5,4,4,4,4,5,4,Samoyeds,0.8828001385079285,0
5,4,3,1,4,2,Corded,Medium,3,4,3,3,4,4,3,5,Spanish Water Dogs,0.7367636188435701,0
5,5,3,2,1,1,Double,Short,3,4,4,4,4,4,3,3,Retrievers (Curly-Coated),0.6624522873787838,0
5,3,4,3,1,1,Smooth,Short,3,4,5,4,3,5,5,5,Miniature Pinschers,0.8717459882086998,1
4,3,3,3,3,3,Smooth,Short,4,4,3,3,4,3,2,3,Bulldogs,0.9605975354709548,0
5,3,3,1,2,2,Curly,Medium,3,4,4,4,5,5,3,5,Pumik,0.6742007532367216,0
3,5,3,3,2,1,Double,Medium,3,4,3,3,5,5,3,5,Australian Shepherds,0.9324807296736336,0
4,3,3,3,1,3,Smooth,Short,3,3,4,4,3,3,3,3,Chinese Shar-Pei,0.92495616923595,0
5,3,3,3,3,3,Double,Medium,3,4,3,4,4,3,3,3,Spaniels (Sussex),0.6425734369750892,0
3,3,3,3,1,1,Wiry,Medium,3,3,4,3,4,4,2,4,Berger Picards,0.7514748904930856,1
5,5,4,2,2,1,Smooth,Short,5,5,3,3,4,4,2,3,Boston Terriers,0.9147334419151696,1
4,5,5,3,3,1,Smooth,Medium,3,3,4,4,4,3,5,3,Chinooks,0.5075740013153693,0
4,5,5,1,3,1,Curly,Medium,3,3,3,3,4,3,3,3,Barbets,0.718112693921473,0
5,5,4,3,2,2,Smooth,Short,4,5,3,5,5,5,3,5,Vizslas,0.9687751070287228,1
5,3,3,4,1,3,Smooth,Short,4,4,5,4,5,5,3,4,Dogo Argentinos,0.8472831314326965,1
4,3,3,3,1,3,Smooth,Short,3,3,5,3,4,4,1,4,Bullmastiffs,0.939464390851801,0
5,5,3,3,2,1,Smooth,Short,5,5,4,4,5,4,3,5,Rat Terriers,0.8560486979557397,0
3,3,1,3,3,1,Double,Medium,2,3,5,3,3,4,2,3,Akitas,0.9417034685402618,0
5,3,3,2,3,2,Wiry,Medium,3,3,3,4,3,3,2,3,Glen of Imaal Terriers,0.6519651294112908,1
5,3,3,3,2,4,Double,Medium,3,3,4,4,5,5,3,4,Setters (Gordon),0.8620161623309287,0
5,3,3,2,2,1,Wiry,Short,3,4,3,4,3,3,3,4,Lakeland Terriers,0.7816667440678842,0
3,3,3,4,2,1,Smooth,Short,3,3,4,3,4,3,5,3,Canaan Dogs,0.5302973290718758,0
5,3,3,3,2,2,Double,Medium,4,4,5,4,4,4,4,4,Norwegian Elkhounds,0.8762973997372941,1
3,5,3,1,2,1,Wiry,Short,3,4,4,3,4,4,5,4,Australian Terriers,0.7794225936495716,0
4,3,3,3,1,1,Smooth,Short,2,3,2,3,3,4,2,3,Sloughis,0.4650593445297679,0
4,3,3,4,3,3,Double,Medium,1,3,5,3,3,3,3,4,Tibetan Mastiffs,0.7250057950809891,0
4,3,3,2,1,3,Smooth,Short,3,3,5,3,4,4,3,3,Cane Corso,0.9656691026069776,0
5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4,English Foxhounds,0.3781556935002825,0
5,5,5,2,3,1,Double,Long,5,5,3,5,4,3,4,3,Havanese,0.9081658711343876,1
5,5,5,3,3,2,Double,Medium,4,3,3,4,4,3,3,4,Spaniels (English Cocker),0.921035907973751,0
5,3,3,1,3,1,Silky,Long,3,3,5,5,3,3,3,3,Lhasa Apsos,0.8481149568060057,1
5,3,5,3,2,1,Smooth,Short,3,3,3,3,4,4,3,4,Pharaoh Hounds,0.5879474979982671,0
5,3,5,3,1,1,Wiry,Medium,3,3,3,3,3,3,1,3,Scottish Deerhounds,0.657503095248814,0
5,5,3,4,2,2,Double,Medium,3,4,5,5,5,5,3,5,German Shepherd Dogs,0.995782399431164,1
3,3,3,1,4,2,Double,Long,3,3,4,3,3,3,1,3,Briards,0.71533440090703,1
4,3,2,3,3,3,Smooth,Medium,2,3,5,3,3,3,1,3,Chow Chows,0.8395494683682558,0
4,3,3,2,2,1,Wiry,Medium,3,4,4,3,3,3,4,3,Cairn Terriers,0.9179741639918472,0
5,5,3,3,2,2,Smooth,Short,3,3,5,4,4,3,2,4,Rhodesian Ridgebacks,0.912029555810106,0
5,5,5,1,5,1,Double,Long,5,4,2,4,4,4,3,3,Bichons Frises,0.9265209732994492,0
5,3,4,3,2,3,Double,Medium,4,4,3,4,5,4,3,4,Spaniels (English Springer),0.9459640359879392,1
5,3,3,3,4,2,Wiry,Medium,3,4,5,4,5,5,3,4,Giant Schnauzers,0.8972881517404067,0
5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4,Greater Swiss Mountain Dogs,0.849262042291186,1
5,5,5,3,2,5,Double,Medium,5,3,5,4,3,3,1,3,Newfoundlands,0.9566174339799516,1
5,3,4,3,2,3,Wiry,Medium,3,3,3,3,4,3,2,3,Spinoni Italiani,0.8247697482815328,1
5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4,Tibetan Terriers,0.8253085522272451,0
4,5,5,3,4,1,Silky,Long,4,4,3,4,3,4,5,3,Bearded Collies,0.8231821119403278,0
5,3,3,3,3,1,Double,Medium,4,5,3,5,5,5,4,5,Border Collies,0.9161201886111708,0
5,5,3,1,4,1,Curly,Long,5,5,5,4,5,4,4,5,Poodles,0.9608623311497224,1
4,1,3,2,1,1,Smooth,Short,2,4,4,4,3,4,5,3,Chihuahuas,0.9120735266719356,1
3,5,5,3,1,1,Smooth,Short,3,3,3,3,3,4,5,3,American Foxhounds,0.3662662625846229,0
0,0,0,0,0,0,Smooth,Short,0,0,0,0,0,0,0,0,Plott Hounds,0.6392113942502752,0
5,5,5,3,3,1,Double,Long,2,5,5,5,5,4,5,4,Shetland Sheepdogs,0.9075605246759074,0
5,3,4,3,2,2,Wiry,Medium,3,3,5,3,3,3,1,3,Irish Wolfhounds,0.8455397067788701,0
5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4,Toy Fox Terriers,0.8337289673587175,0
5,3,3,1,4,1,Silky,Long,3,3,4,4,3,3,3,3,Maltese,0.8967646133644103,0
5,5,5,3,1,3,Smooth,Short,3,4,3,4,5,5,4,5,Treeing Walker Coonhounds,0.6975799913770934,0
5,3,3,3,2,1,Double,Medium,3,3,4,4,3,4,4,4,Norwegian Buhunds,0.6562429670119024,0
5,3,3,3,2,2,Double,Medium,3,3,5,4,5,3,3,3,Kuvaszok,0.6153334963868294,1
